?item	?membership	?term	?constituency	?party	?start	?election	?end	?cause	?event
Q11800449	Q60576882		Q60576033						
Q11800449	Q60576883		Q60576033						
Q11800449	Q60576866		Q60576069						
Q11800449	Q60581123		Q60576069						
Q11800449	Q60576871		Q60578263						
Q11800449	Q60576872		Q60578263						
Q11801028	Q60576881		Q60576010						
Q11801028	Q60576874		Q60576055						
Q11801028	Q60576888		Q60576055						
Q11801028	Q60576890		Q60576055						
Q11801028	Q60576892		Q60576055						
Q11801028	Q60576894		Q60576055						
Q11801028	Q60576904		Q60576055						
Q11801028	Q60576907		Q60576055						
Q11801083	Q60576883		Q60576055						
Q11801083	Q60576890		Q60576055						
Q11801083	Q60576898		Q60576055						
Q11801147	Q60576893		Q60576051						
Q11801147	Q60576895		Q60576051						
Q11801147	Q60576898		Q60576051						
Q11801147	Q60576892		Q60576074						
Q11801329	Q60576685		Q60576074						
Q11801342	Q60576891		Q60576069						
Q11801342	Q60576895		Q60576069						
Q11801342	Q60576901		Q60576069						
Q11801342	Q60576894		Q60578260						
Q11801746	Q60576888		Q60578262						
Q11801746	Q60576889		Q60578262						
Q11801746	Q60576891		Q60578262						
Q11801746	Q60576893		Q60578262						
Q11801746	Q60576902		Q60578262						
Q11801746	Q60576890		Q60578262						
Q11801746	Q60576892		Q60578262						
Q11801746	Q60576900		Q60578262						
Q11801746	Q60576901		Q60578262						
Q11801746	Q60576882		Q60578262						
Q11801746	Q60576894		Q60578262						
Q11801746	Q60576897		Q60578262						
Q11801746	Q60576899		Q60578262						
Q11801998	Q56285398		Q60576062						
Q11801998	Q56285388		Q60576062						
Q11801998	Q60581058		Q60576062						
Q11801998	Q60581105		Q60576062						
Q11801998	Q60580763		Q60576062						
Q11802004	Q60576685		Q60576062						
Q11802004	Q60576692		Q60576062						
Q11802004	Q60576866		Q60576062						
Q11802059	Q56285388		Q60576015						
Q11802059	Q60576867		Q60576015						
Q11802059	Q60580778		Q60576015						
Q11802059	Q60581058		Q60576015						
Q11802059	Q60581063		Q60576015						
Q11802059	Q60581067		Q60576015						
Q11802059	Q60581070		Q60576015						
Q11802059	Q60580748		Q60576015						
Q11802059	Q60580763		Q60576015						
Q11802059	Q60580772		Q60576015						
Q11802918	Q56285355		Q60576059						
Q11802918	Q60576865		Q60576059						
Q11802918	Q60581070		Q60576059						
Q11802918	Q60581081		Q60576059						
Q11802918	Q60581110		Q60576059						
Q11802918	Q60580763		Q60576059						
Q11803769	Q60576865		Q60576070						
Q11803769	Q60576866		Q60576070						
Q11803769	Q60576873		Q60576070						
Q15272837	Q60576871		Q60576034						
Q15272837	Q60576893		Q60576034						
Q16145979	Q56285398		Q60576088						
Q16145979	Q60576698		Q60576088						
Q16145979	Q60576866		Q60576088						
Q16145979	Q60576869		Q60576088						
Q16146150	Q60576874		Q60578257						
Q16146150	Q60576893		Q60578257						
Q16146150	Q60576895		Q60578257						
Q16146150	Q60576886		Q60578257						
Q16146150	Q60576894		Q60578257						
Q16146150	Q60576897		Q60578257						
Q16146150	Q60576899		Q60578257						
Q16146222	Q56285355		Q60576079						
Q16146259	Q60576685		Q60576116						
Q16146317	Q60576891		Q60576167						
Q16146662	Q60576668		Q60576116						
Q16147181	Q60576884		Q60576167						
Q16147364	Q60576867		Q60576116						
Q16147364	Q60576866		Q60576116						
Q16147364	Q60576869		Q60576116						
Q16147364	Q60580778		Q60576116						
Q16147364	Q60581063		Q60576116						
Q16150491	Q60576881		Q60576015						
Q16150491	Q60576879		Q60576015						
Q16150491	Q60576885		Q60576015						
Q16150718	Q60576865		Q60576116						
Q16150718	Q60576875		Q60576116						
Q16152127	Q60576876		Q60576090						
Q16152127	Q60576874		Q60576090						
Q16152127	Q60576875		Q60576090						
Q16152928	Q60576871		Q60578256						
Q16167783	Q60576692		Q60576043						
Q16167783	Q60576873		Q60576043						
Q16197731	Q60576685		Q60576043						
Q16197731	Q60581105		Q60576043						
Q16197731	Q60581110		Q60576043						
Q16198716	Q60576890		Q60576079						
Q16198725	Q60576889		Q60578263						
Q16198725	Q60576890		Q60578263						
Q16199375	Q60576871		Q60576116						
Q16199375	Q60576879		Q60576116						
Q16199375	Q60576888		Q60576116						
Q16199421	Q60576685		Q60576116						
Q16199421	Q60581105		Q60576116						
Q16199421	Q60581097		Q60576116						
Q16199421	Q60581110		Q60576116						
Q16200644	Q60576692		Q60576116						
Q16200644	Q60576871		Q60576116						
Q16200644	Q60576874		Q60576116						
Q16200644	Q60576869		Q60576116						
Q16201414	Q60576676		Q60578257						
Q16201414	Q60576668		Q60578257						
Q16201414	Q60576685		Q60578257						
Q16201414	Q60581081		Q60578257						
Q16201414	Q60581089		Q60578257						
Q16202085	Q60576890		Q60578257						
Q16202085	Q60576897		Q60578257						
Q16202085	Q60576900		Q60578257						
Q16202196	Q60576890		Q60578257						
Q16202913	Q60576892		Q60576094						
Q16202913	Q60576890		Q60576094						
Q16202913	Q60576879		Q60576094						
Q16203121	Q56285355		Q60576092						
Q16203121	Q60581063		Q60576092						
Q16203121	Q60581110		Q60576092						
Q16203121	Q60580748		Q60576092						
Q16203121	Q60580753		Q60576092						
Q16203121	Q60580757		Q60576092						
Q16203121	Q60580741		Q60576092						
Q16203133	Q60576676		Q60576092						
Q16203248	Q60576881		Q60578257						
Q16203512	Q60576895		Q60576167						
Q16203512	Q60576890		Q60576167						
Q16203512	Q60576899		Q60576167						
Q16204163	Q60576879		Q60576116						
Q16204163	Q60576874		Q60576116						
Q16204163	Q60576875		Q60576116						
