?item	?membership	?term	?constituency	?party	?start	?election	?end	?cause	?event
Q1035378	Q60586151		Q60576027						
Q1035378	Q60586150		Q60576027						
Q1035378	Q60586163		Q60576096						
Q1133984	Q60585962		Q60576049						
Q1133984	Q60585857		Q60576255						
Q11800493	Q60586155		Q60576038						
Q11800493	Q60586150		Q60576049						
Q11800493	Q60586155		Q60576054						
Q11800493	Q60586104		Q60576166						
Q11800493	Q60586151		Q60576166						
Q11800493	Q60586145		Q60576166						
Q11800590	Q60586153		Q60576136						
Q11800627	Q60585962		Q60576133						
Q11800627	Q60585670		Q60576174						
Q11800897	Q60585962		Q60576067						
Q11800897	Q60585908		Q60576067						
Q11800897	Q60585670		Q60576101						
Q11801160	Q60585811								
Q11801160	Q60585668		Q60576051						
Q11801160	Q60585727		Q60576051						
Q11801160	Q60585962		Q60576051						
Q11801160	Q60585908		Q60576127						
Q11801322	Q60585661		Q60576074						
Q11801322	Q60585656		Q60576074						
Q11801322	Q60585654		Q60576074						
Q11801322	Q60586066		Q60576074						
Q11801517	Q60585670		Q60576063						
Q11801517	Q60585665		Q60576063						
Q11801517	Q60585811		Q60576063						
Q11801517	Q60586066		Q60576063						
Q11801517	Q60585962		Q60576116						
Q11801517	Q60585908		Q60576116						
Q11801517	Q60586012		Q60576148						
Q11801856	Q60586012		Q60578257						
Q11801856	Q60585962		Q60578257						
Q11801856	Q60586066		Q60578257						
Q11801886	Q60585962		Q60576087						
Q11802145	Q60586149		Q60576251						
Q11802258	Q60586163		Q60576053						
Q11802258	Q60586150		Q60576117						
Q11802777	Q60586151		Q60576080						
Q11802898	Q60586012		Q60576059						
Q11802898	Q60586150		Q60576059						
Q11802898	Q60586153		Q60576059						
Q11802898	Q60586145		Q60576075						
Q11803182	Q60586066		Q60576027						
Q11803182	Q60586104		Q60576033						
Q11803632	Q60586167		Q60576069						
Q11803632	Q60586156		Q60576069						
Q11803632	Q60586155		Q60576148						
Q11803632	Q60586151		Q60576271						
Q11803632	Q60586157		Q60578266						
Q11803632	Q60586159		Q60578269						
Q1216173	Q60586066		Q60576054						
Q1216173	Q60586104		Q60576054						
Q1216173	Q60586145		Q60576054						
Q1216173	Q60586012		Q60576255						
Q1225374	Q60585908		Q60576125						
Q12729940	Q60586155		Q60578265						
Q1311105	Q60585962		Q60576235						
Q1377854	Q60586149		Q60578269						
Q138409	Q60586066		Q60576034						
Q138409	Q60586104		Q60576034						
Q138409	Q60586149		Q60576034						
Q138409	Q60586145		Q60576034						
Q138409	Q60585962		Q60576108						
Q138409	Q60585908		Q60576245						
Q140412	Q60586153		Q60576024						
Q14942827	Q60585908		Q60576042						
Q14945623	Q60586151		Q60576019						
Q14945623	Q60586156		Q60576090						
Q14945623	Q60586163		Q60576090						
Q14945623	Q60586163		Q60576136						
Q14945623	Q60586155		Q60576277						
Q14945623	Q60586153		Q60576287						
Q14946861	Q60586151		Q60576205						
Q1507083	Q60586104		Q60576044						
Q1507083	Q60586151		Q60576044						
Q1507083	Q60586155		Q60576044						
Q1507083	Q60586153		Q60576044						
Q1507083	Q60586145		Q60576246						
Q1507083	Q60586150		Q60576246						
Q1507083	Q60586149		Q60576246						
Q15440830	Q60586151		Q60576049						
Q15440830	Q60586156		Q60576049						
Q15440830	Q60586155		Q60576049						
Q15442226	Q60585962		Q60576030						
Q15442226	Q60585857		Q60576030						
Q15442226	Q60585908		Q60576030						
Q15452496	Q60586012		Q60576107						
Q15452496	Q60586066		Q60576107						
Q15452496	Q60585670		Q60576200						
Q15452496	Q60585962		Q60576246						
Q15460645	Q60586150		Q60576106						
Q15460645	Q60586153		Q60576106						
Q15460645	Q60586157		Q60576126						
Q15460645	Q60586151		Q60576139						
Q15460645	Q60586156		Q60576139						
Q15460645	Q60586155		Q60576139						
Q15460645	Q60586163		Q60576269						
Q15637748	Q60585962		Q60578265						
Q15978788	Q60586155		Q60576128						
Q15978788	Q60586151		Q60576162						
Q15979612	Q60586145		Q60576026						
Q15989835	Q60586149		Q60576052						
Q15989835	Q60586155		Q60576052						
Q15989874	Q60586066		Q60576248						
Q15989886	Q60585811		Q60576181						
Q15989886	Q60585962		Q60576246						
Q15989902	Q60586151		Q60578274						
Q15989918	Q60586012		Q60576078						
Q15989918	Q60586145		Q60578263						
Q15989918	Q60586104		Q60578263						
Q15989918	Q60586150		Q60578263						
Q15989918	Q60586066		Q60595458						
Q15990016	Q60586104		Q56189354						
Q15990016	Q60586145		Q60576201						
Q15990329	Q60586104		Q60576130						
Q15990329	Q60586145		Q60576130						
Q15990376	Q60586145		Q60576229						
Q15990376	Q60586104		Q60576316						
Q15994480	Q60585962		Q60576038						
Q16011086	Q60586104		Q60576010						
Q16011086	Q60586066		Q60576010						
Q16011086	Q60586145		Q60576010						
Q16011086	Q60586150		Q60576010						
Q16011086	Q60586149		Q60576010						
Q16146221	Q60585668		Q60576144						
